Time,Temp,Duty
6560,23.4,0.1
6570,23.4,0.1
6580,23.4,0.1
6590,23.4,0.1
6600,23.4,0.1
6610,23.4,0.1
6620,23.4,0.1
6630,23.4,0.1
6640,23.4,0.1
6650,23.4,0.1
6660,23.4,0.1
6670,23.4,0.1
6680,23.4,0.1
6690,23.4,0.1
6700,23.4,0.1
6710,23.4,0.1
6720,23.4,0.1
6730,23.4,0.1
6740,23.4,0.1
6750,23.4,0.1
6760,23.4,0.1
6770,23.4,0.1
6780,23.4,0.1
6790,23.4,0.1
6800,23.4,0.1
6810,23.4,0.1
6820,23.4,0.1
6830,23.4,0.1
6840,23.4,0.1
6850,23.4,0.1
6860,23.4,0.1
6870,23.4,0.1
6880,23.4,0.1
6890,23.4,0.1
6900,23.4,0.1
6910,23.4,0.1
6920,23.4,0.1
6930,23.4,0.1
6940,23.4,0.1
6950,23.4,0.1
6960,23.4,0.1
6970,23.4,0.1
6980,23.4,0.1
6990,23.4,0.1
7000,23.4,0.1
7010,23.4,0.1
7020,23.4,0.1
7030,23.4,0.1
7040,23.4,0.1
7050,23.4,0.1
7060,23.4,0.1
7070,23.4,0.1
7080,23.4,0.1
7090,23.4,0.1
7100,23.4,0.1
7110,23.4,0.1
7120,23.4,0.1
7130,23.4,0.1
7140,23.4,0.1
7150,23.4,0.1
7160,23.4,0.1
7170,23.4,0.1
7180,23.4,0.1
7190,23.4,0.1
7200,23.4,0.1
7210,23.4,0.1
7220,23.4,0.1
7230,23.4,0.1
7240,23.4,0.1
7250,23.4,0.1
7260,23.4,0.1
7270,23.4,0.1
7280,23.4,0.1
7290,23.4,0.1
7300,23.4,0.1
7310,23.4,0.1
7320,23.4,0.1
7330,23.4,0.1
7340,23.4,0.1
7350,23.4,0.1
7360,23.4,0.1
7370,23.4,0.1
7380,23.4,0.1
7390,23.4,0.1
7400,23.4,0.1
7410,23.4,0.1
7420,23.4,0.1
7430,23.4,0.1
7440,23.4,0.1
7450,23.4,0.1
7460,23.4,0.1
7470,23.4,0.1
7480,23.4,0.1
7490,23.4,0.1
7500,23.4,0.1
7510,23.4,0.1
7520,23.4,0.1
7530,23.4,0.1
7540,23.4,0.1
7550,23.4,0.1
7560,23.4,0.1
7570,23.4,0.1
7580,23.4,0.1
7590,23.4,0.1
7600,23.4,0.1
7610,23.4,0.1
7620,23.4,0.1
7630,23.4,0.1
7640,23.4,0.1
7650,23.4,0.1
7660,23.4,0.1
7670,23.4,0.1
7680,23.4,0.1
7690,23.4,0.1
7700,23.4,0.1
7710,23.4,0.1
7720,23.4,0.1
7730,23.4,0.1
7740,23.4,0.1
7750,23.4,0.1
7760,23.4,0.1
7770,23.4,0.1
7780,23.4,0.1
7790,23.4,0.1
7800,23.4,0.1
7810,23.4,0.1
7820,23.4,0.1
7830,23.4,0.1
7840,23.4,0.1
7850,23.4,0.1
7860,23.4,0.1
7870,23.4,0.1
7880,23.4,0.1
7890,23.4,0.1
7900,23.4,0.1
7910,23.4,0.1
7920,23.4,0.1
7930,23.4,0.1
7940,23.4,0.1
7950,23.4,0.1
7960,23.4,0.1
7970,23.4,0.1
7980,23.4,0.1
7990,23.4,0.1
8000,23.4,0.1
8010,23.4,0.1
8020,23.4,0.1
8030,23.4,0.1
8040,23.4,0.1
8050,23.4,0.1
8060,23.4,0.1
8070,23.4,0.1
8080,23.4,0.1
8090,23.4,0.1
8100,23.4,0.1
8110,23.4,0.1
8120,23.4,0.1
8130,23.4,0.1
8140,23.4,0.1
8150,23.4,0.1
8160,23.4,0.1
8170,23.4,0.1
8180,23.4,0.1
8190,23.4,0.1
8200,23.4,0.1
8210,23.4,0.1
8220,23.4,0.1
8230,23.4,0.1
8240,23.4,0.1
8250,23.4,0.1
8260,23.4,0.1
8270,23.4,0.1
8280,23.4,0.1
8290,23.4,0.1
8300,23.4,0.1
8310,23.4,0.1
8320,23.4,0.1
8330,23.4,0.1
8340,23.4,0.1
8350,23.4,0.1
8360,23.4,0.1
8370,23.4,0.1
8380,23.4,0.1
8390,23.4,0.1
8400,23.4,0.1
8410,23.4,0.1
8420,23.4,0.1
8430,23.4,0.1
8440,23.4,0.1
8450,23.4,0.1
8460,23.4,0.1
8470,23.4,0.1
8480,23.4,0.1
8490,23.4,0.1
8500,23.4,0.1
8510,23.4,0.1
8520,23.4,0.1
8530,23.4,0.1
8540,23.4,0.1
8550,23.4,0.1
8560,23.4,0.1
8570,23.4,0.1
8580,23.4,0.1
8590,23.4,0.1
8600,23.4,0.1
8610,23.4,0.1
8620,23.4,0.1
8630,23.4,0.1
8640,23.4,0.1
8650,23.4,0.1
8660,23.4,0.1
8670,23.4,0.1
8680,23.4,0.1
8690,23.4,0.1
8700,23.4,0.1
8710,23.4,0.1
8720,23.4,0.1
8730,23.4,0.1
8740,23.4,0.1
8750,23.4,0.1
8760,23.4,0.1
8770,23.4,0.1
8780,23.4,0.1
8790,23.4,0.1
8800,23.4,0.1
8810,23.4,0.1
8820,23.4,0.1
8830,23.4,0.1
8840,23.4,0.1
8850,23.4,0.1
8860,23.4,0.1
8870,23.4,0.1
8880,23.4,0.1
8890,23.4,0.1
8900,23.4,0.1
8910,23.4,0.1
8920,23.4,0.1
8930,23.4,0.1
8940,23.4,0.1
8950,23.4,0.1
8960,23.4,0.1
8970,23.4,0.1
8980,23.4,0.1
8990,23.4,0.1
9000,23.4,0.1
9010,23.4,0.1
9020,23.4,0.1
9030,23.4,0.1
9040,23.4,0.1
9050,23.4,0.1
9060,23.4,0.1
9070,23.4,0.1
9080,23.4,0.1
9090,23.4,0.1
9100,23.4,0.1
9110,23.4,0.1
9120,23.4,0.1
9130,23.4,0.1
9140,23.4,0.1
9150,23.4,0.1
9160,23.4,0.1
9170,23.4,0.1
9180,23.4,0.1
9190,23.4,0.1
9200,23.4,0.1
9210,23.4,0.1
9220,23.4,0.1
9230,23.4,0.1
9240,23.4,0.1
9250,23.4,0.1
9260,23.4,0.1
9270,23.4,0.1
9280,23.4,0.1
9290,23.4,0.1
9300,23.4,0.1
9310,23.4,0.1
9320,23.4,0.1
9330,23.4,0.1
9340,23.4,0.1
9350,23.4,0.1
9360,23.4,0.1
9370,23.4,0.1
9380,23.4,0.1
9390,23.4,0.1
9400,23.4,0.1
9410,23.4,0.1
9420,23.4,0.1
9430,23.4,0.1
9440,23.4,0.1
9450,23.4,0.1
9460,23.4,0.1
9470,23.4,0.1
9480,23.4,0.1
9490,23.4,0.1
9500,23.4,0.1
9510,23.4,0.1
9520,23.4,0.1
9530,23.4,0.1
9540,23.4,0.1
9550,23.4,0.1
9560,23.4,0.1
9570,23.4,0.1
9580,23.4,0.1
9590,23.4,0.1
9600,23.4,0.1
9610,23.4,0.1
9620,23.4,0.1
9630,23.4,0.1
9640,23.4,0.1
9650,23.4,0.1
9660,23.4,0.1
9670,23.4,0.1
9680,23.4,0.1
9690,23.4,0.1
9700,23.4,0.1
9710,23.4,0.1
9720,23.4,0.1
9730,23.4,0.1
9740,23.4,0.1
9750,23.4,0.1
9760,23.4,0.1
9770,23.4,0.1
9780,23.4,0.1
9790,23.4,0.1
9800,23.4,0.1
9810,23.4,0.1
9820,23.4,0.1
9830,23.4,0.1
9840,23.4,0.1
9850,23.4,0.1
9860,23.4,0.1
9870,23.4,0.1
9880,23.4,0.1
9890,23.4,0.1
9900,23.4,0.1
9910,23.4,0.1
9920,23.4,0.1
9930,23.4,0.1
9940,23.4,0.1
9950,23.4,0.1
9960,23.4,0.1
9970,23.4,0.1
9980,23.4,0.1
9990,23.4,0.1
10000,23.4,0.1
10010,23.4,0.1
10020,23.4,0.1
10030,23.4,0.1
10040,23.4,0.1
10050,23.4,0.1
10060,23.4,0.1
10070,23.4,0.1
10080,23.4,0.1
10090,23.4,0.1
10100,23.4,0.1
10110,23.4,0.1
10120,23.4,0.1
10130,23.4,0.1
10140,23.4,0.1
10150,23.4,0.1
10160,23.4,0.1
10170,23.4,0.1
10180,23.4,0.1
10190,23.4,0.1
10200,23.4,0.1
10210,23.4,0.1
10220,23.4,0.1
10230,23.4,0.1
10240,23.4,0.1
10250,23.4,0.1
10260,23.4,0.1
10270,23.4,0.1
10280,23.4,0.1
10290,23.4,0.1
10300,23.4,0.1
10310,23.4,0.1
10320,23.4,0.1
10330,23.4,0.1
10340,23.4,0.1
10350,23.4,0.1
10360,23.4,0.1
10370,23.4,0.1
10380,23.4,0.1
10390,23.4,0.1
10400,23.4,0.1
