Time,Temp,DutyCycle
41860,19.3,0.2
41870,19.3,0.2
41880,19.3,0.2
41890,19.3,0.2
41900,19.3,0.2
41910,19.3,0.2
41920,19.3,0.2
41930,19.3,0.2
41940,19.3,0.2
41950,19.3,0.2
41960,19.3,0.2
41970,19.3,0.2
41980,19.3,0.2
41990,19.3,0.2
42000,19.3,0.2
42010,19.3,0.2
42020,19.3,0.2
42030,19.3,0.2
42040,19.3,0.2
42050,19.3,0.2
42060,19.3,0.2
42070,19.3,0.2
42080,19.3,0.2
42090,19.3,0.2
42100,19.3,0.2
42110,19.3,0.2
42120,19.3,0.2
42130,19.3,0.2
42140,19.3,0.2
42150,19.3,0.2
42160,19.3,0.2
42170,19.3,0.2
42180,19.3,0.2
42190,19.3,0.2
42200,19.3,0.2
42210,19.3,0.2
42220,19.3,0.2
42230,19.3,0.2
42240,19.3,0.2
42250,19.3,0.2
42260,19.3,0.2
42270,19.3,0.2
42280,19.3,0.2
42290,19.3,0.2
42300,19.3,0.2
42310,19.3,0.2
42320,19.3,0.2
42330,19.3,0.2
42340,19.3,0.2
42350,19.3,0.2
42360,19.3,0.2
42370,19.3,0.2
42380,19.3,0.2
42390,19.3,0.2
42400,19.3,0.2
42410,19.3,0.2
42420,19.3,0.2
42430,19.3,0.2
42440,19.3,0.2
42450,19.3,0.2
42460,19.3,0.2
42470,19.3,0.2
42480,19.3,0.2
42490,19.3,0.2
42500,19.3,0.2
42510,19.3,0.2
42520,19.3,0.2
42530,19.3,0.2
42540,19.3,0.2
42550,19.3,0.2
42560,19.3,0.2
42570,19.3,0.2
42580,19.3,0.2
42590,19.3,0.2
42600,19.3,0.2
42610,19.3,0.2
42620,19.3,0.2
42630,19.3,0.2
42640,19.3,0.2
42650,19.3,0.2
42660,19.3,0.2
42670,19.3,0.2
42680,19.3,0.2
42690,19.3,0.2
42700,19.3,0.2
42710,19.3,0.2
42720,19.3,0.2
42730,19.3,0.2
42740,19.3,0.2
42750,19.3,0.2
42760,19.3,0.2
42770,19.3,0.2
42780,19.3,0.2
42790,19.3,0.2
42800,19.3,0.2
42810,19.3,0.2
42820,19.3,0.2
42830,19.3,0.2
42840,19.3,0.2
42850,19.3,0.2
42860,19.3,0.2
42870,19.3,0.2
42880,19.3,0.2
42890,19.3,0.2
42900,19.3,0.2
42910,19.3,0.2
42920,19.3,0.2
42930,19.3,0.2
42940,19.3,0.2
42950,19.3,0.2
42960,19.3,0.2
42970,19.3,0.2
42980,19.3,0.2
42990,19.3,0.2
43000,19.3,0.2
43010,19.3,0.2
43020,19.3,0.2
43030,19.3,0.2
43040,19.3,0.2
43050,19.3,0.2
43060,19.3,0.2
43070,19.3,0.2
43080,19.3,0.2
43090,19.3,0.2
43100,19.3,0.2
43110,19.3,0.2
43120,19.3,0.2
43130,19.3,0.2
43140,19.3,0.2
43150,19.3,0.2
43160,19.3,0.2
43170,19.3,0.2
43180,19.3,0.2
43190,19.3,0.2
43200,19.3,0.2
43210,19.3,0.2
43220,19.3,0.2
43230,19.3,0.2
43240,19.3,0.2
43250,19.3,0.2
43260,19.3,0.2
43270,19.3,0.2
43280,19.3,0.2
43290,19.3,0.2
43300,19.3,0.2
43310,19.3,0.2
43320,19.3,0.2
43330,19.3,0.2
43340,19.3,0.2
43350,19.3,0.2
43360,19.3,0.2
43370,19.3,0.2
43380,19.3,0.2
43390,19.3,0.2
43400,19.3,0.2
43410,19.3,0.2
43420,19.3,0.2
43430,19.3,0.2
43440,19.3,0.2
43450,19.3,0.2
43460,19.3,0.2
43470,19.3,0.2
43480,19.3,0.2
43490,19.3,0.2
43500,19.3,0.2
43510,19.3,0.2
43520,19.3,0.2
43530,19.3,0.2
43540,19.3,0.2
43550,19.3,0.2
43560,19.3,0.2
43570,19.3,0.2
43580,19.3,0.2
43590,19.3,0.2
43600,19.3,0.2
43610,19.3,0.2
43620,19.3,0.2
43630,19.3,0.2
43640,19.3,0.2
43650,19.3,0.2
43660,19.3,0.2
43670,19.3,0.2
43680,19.3,0.2
43690,19.3,0.2
43700,19.3,0.2
43710,19.3,0.2
43720,19.3,0.2
43730,19.3,0.2
43740,19.3,0.2
43750,19.3,0.2
43760,19.3,0.2
43770,19.3,0.2
43780,19.3,0.2
43790,19.3,0.2
43800,19.3,0.2
43810,19.3,0.2
43820,19.3,0.2
43830,19.3,0.2
43840,19.3,0.2
43850,19.3,0.2
43860,19.3,0.2
43870,19.3,0.2
43880,19.3,0.2
43890,19.3,0.2
43900,19.3,0.2
43910,19.3,0.2
43920,19.3,0.2
43930,19.3,0.2
43940,19.3,0.2
43950,19.3,0.2
43960,19.3,0.2
43970,19.3,0.2
43980,19.3,0.2
43990,19.3,0.2
44000,19.3,0.2
44010,19.3,0.2
44020,19.3,0.2
44030,19.3,0.2
44040,19.3,0.2
44050,19.3,0.2
44060,19.3,0.2
44070,19.3,0.2
44080,19.3,0.2
44090,19.3,0.2
44100,19.3,0.2
44110,19.3,0.2
44120,19.3,0.2
44130,19.3,0.2
44140,19.3,0.2
44150,19.3,0.2
44160,19.3,0.2
44170,19.3,0.2
44180,19.3,0.2
44190,19.3,0.2
44200,19.3,0.2
44210,19.3,0.2
44220,19.3,0.2
44230,19.3,0.2
44240,19.3,0.2
44250,19.3,0.2
44260,19.3,0.2
44270,19.3,0.2
44280,19.3,0.2
44290,19.3,0.2
44300,19.3,0.2
44310,19.3,0.2
44320,19.3,0.2
44330,19.3,0.2
44340,19.3,0.2
44350,19.3,0.2
44360,19.3,0.2
44370,19.3,0.2
44380,19.3,0.2
44390,19.3,0.2
44400,19.3,0.2
44410,19.3,0.2
44420,19.3,0.2
44430,19.3,0.2
44440,19.3,0.2
44450,19.3,0.2
44460,19.3,0.2
44470,19.3,0.2
44480,19.3,0.2
44490,19.3,0.2
44500,19.3,0.2
44510,19.3,0.2
44520,19.3,0.2
44530,19.3,0.2
44540,19.3,0.2
44550,19.3,0.2
44560,19.3,0.2
44570,19.3,0.2
44580,19.3,0.2
44590,19.3,0.2
44600,19.3,0.2
44610,19.3,0.2
44620,19.3,0.2
44630,19.3,0.2
44640,19.3,0.2
44650,19.3,0.2
44660,19.3,0.2
44670,19.3,0.2
44680,19.3,0.2
44690,19.3,0.2
44700,19.3,0.2
44710,19.3,0.2
44720,19.3,0.2
44730,19.3,0.2
44740,19.3,0.2
44750,19.3,0.2
44760,19.3,0.2
44770,19.3,0.2
44780,19.3,0.2
44790,19.3,0.2
44800,19.3,0.2
44810,19.3,0.2
44820,19.3,0.2
44830,19.3,0.2
44840,19.3,0.2
44850,19.3,0.2
44860,19.3,0.2
44870,19.3,0.2
44880,19.3,0.2
44890,19.3,0.2
44900,19.3,0.2
44910,19.3,0.2
44920,19.3,0.2
44930,19.3,0.2
44940,19.3,0.2
44950,19.3,0.2
44960,19.3,0.2
44970,19.3,0.2
44980,19.3,0.2
44990,19.3,0.2
45000,19.3,0.2
45010,19.3,0.2
45020,19.3,0.2
45030,19.3,0.2
45040,19.3,0.2
45050,19.3,0.2
45060,19.3,0.2
45070,19.3,0.2
45080,19.3,0.2
45090,19.3,0.2
45100,19.3,0.2
45110,19.3,0.2
45120,19.3,0.2
45130,19.3,0.2
45140,19.3,0.2
45150,19.3,0.2
45160,19.3,0.2
45170,19.3,0.2
45180,19.3,0.2
45190,19.3,0.2
45200,19.3,0.2
45210,19.3,0.2
45220,19.3,0.2
45230,19.3,0.2
45240,19.3,0.2
45250,19.3,0.2
45260,19.3,0.2
45270,19.3,0.2
45280,19.3,0.2
45290,19.3,0.2
45300,19.3,0.2
45310,19.3,0.2
45320,19.3,0.2
45330,19.3,0.2
45340,19.3,0.2
45350,19.3,0.2
45360,19.3,0.2
45370,19.3,0.2
45380,19.3,0.2
45390,19.3,0.2
45400,19.3,0.2
45410,19.3,0.2
45420,19.3,0.2
45430,19.3,0.2
45440,19.3,0.2
45450,19.3,0.2
45460,19.3,0.2
45470,19.3,0.2
45480,19.3,0.2
45490,19.3,0.2
45500,19.3,0.2
45510,19.3,0.2
45520,19.3,0.2
45530,19.3,0.2
45540,19.3,0.2
45550,19.3,0.2
45560,19.3,0.2
45570,19.3,0.2
45580,19.3,0.2
45590,19.3,0.2
45600,19.3,0.2
45610,19.3,0.2
45620,19.3,0.2
45630,19.3,0.2
45640,19.3,0.2
45650,19.3,0.2
